Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Petición a postgres,60,1463,1094,2063,"237,45","0,000%","29,02758","14,97","3,66","528,0"
Total,60,1463,1094,2063,"237,45","0,000%","29,02758","14,97","3,66","528,0"
